               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10173,            0.025088,                   0,           0.0041437,             0.87654,            0.065343,            0.013101,            0.057988,            0.016691,                   0,            0.070517,           0.0032759,           0.0032759
                   1,            0.077585,            0.018788,                   0,           0.0055016,                   1,             0.27244,            0.062255,            0.055483,            0.012593,                   0,            0.040485,           0.0065765,           0.0065765
                   2,             0.06685,            0.018068,                   0,             0.61166,             0.44727,             0.60806,             0.22861,            0.046852,            0.011733,                   0,            0.010419,           0.0098441,           0.0098441
                   3,            0.056667,            0.017205,                   0,             0.69453,             0.75792,             0.81836,             0.38012,            0.040729,            0.010003,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.050559,            0.015203,                   0,             0.68093,              0.7904,             0.82727,             0.39326,            0.037624,           0.0083636,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.047575,            0.012664,                   0,             0.76294,             0.79469,             0.71813,             0.23766,            0.036667,           0.0076328,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.044836,            0.011711,                   0,             0.90752,             0.91358,             0.94355,             0.37519,            0.042433,           0.0077736,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.041587,            0.010935,                   0,             0.94944,             0.92729,              0.9805,              0.5196,            0.034622,           0.0070556,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.040019,            0.010138,                   0,             0.98729,             0.95897,             0.98523,             0.53303,            0.029635,           0.0070676,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.038034,           0.0093568,                   0,             0.96377,             0.96296,             0.98219,             0.47665,            0.032842,           0.0067192,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.038998,           0.0092318,                   0,             0.92971,             0.97981,              0.9827,             0.60218,            0.027229,           0.0062136,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.036816,           0.0091655,                   0,             0.95815,             0.96296,             0.98185,             0.48659,            0.030608,           0.0061642,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.037195,           0.0088852,                   0,             0.97082,             0.96296,             0.97606,             0.52646,            0.029055,           0.0073361,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.034499,           0.0085496,                   0,             0.98749,             0.97451,             0.98454,             0.60832,            0.026124,           0.0064213,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.033152,           0.0084644,                   0,             0.98749,             0.97454,             0.98882,             0.60307,            0.025248,           0.0063069,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.033389,           0.0082917,                   0,             0.95967,             0.97531,             0.98831,             0.61071,            0.024593,           0.0069566,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.032433,           0.0077775,                   0,             0.97526,             0.97354,             0.98535,             0.58253,            0.031243,           0.0071043,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.034739,           0.0082475,                   0,             0.98762,             0.98488,             0.98945,             0.59162,            0.025838,           0.0068561,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.032265,           0.0078569,                   0,             0.97944,             0.98765,             0.98448,             0.57361,            0.026311,           0.0062053,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.031003,           0.0073087,                   0,             0.97559,             0.98765,             0.98632,             0.61619,            0.026019,           0.0060434,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.033125,           0.0078034,                   0,             0.96284,             0.97531,             0.98645,             0.64908,            0.025302,           0.0061778,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.030725,           0.0075187,                   0,             0.96117,             0.96296,             0.98196,             0.64699,            0.023997,           0.0068382,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.030121,           0.0076465,                   0,             0.98328,             0.97531,               0.984,             0.60321,            0.024102,           0.0050104,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.031623,           0.0076543,                   0,             0.98759,             0.98277,             0.98589,             0.63659,            0.023829,           0.0071414,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.031451,           0.0072785,                   0,             0.98431,             0.95062,             0.98352,             0.61205,            0.025959,           0.0067879,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,              0.0294,           0.0070148,                   0,             0.98122,             0.96296,             0.98267,             0.63892,            0.023006,           0.0065989,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.030306,           0.0071358,                   0,             0.98242,             0.95062,             0.97589,             0.63491,            0.024591,           0.0070688,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.029897,           0.0076391,                   0,             0.98473,             0.96296,             0.98433,             0.63442,            0.025167,           0.0065599,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.029424,           0.0070327,                   0,             0.98106,             0.95062,             0.98154,             0.58295,            0.027958,           0.0071702,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.029895,           0.0075959,                   0,             0.98732,             0.96148,             0.98454,             0.65537,             0.02378,           0.0068086,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.028124,           0.0071804,                   0,             0.98528,             0.95062,              0.9793,              0.6201,            0.024488,           0.0066988,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,             0.02826,           0.0073519,                   0,             0.98717,             0.95021,             0.97966,             0.60562,            0.026347,           0.0058651,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.028561,           0.0074203,                   0,             0.98686,             0.93827,             0.98241,             0.62787,            0.024112,           0.0068567,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.027241,           0.0068169,                   0,             0.97174,             0.98765,             0.98196,             0.60344,            0.024654,           0.0054994,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.026759,           0.0068327,                   0,             0.96374,             0.98456,             0.98014,             0.60724,            0.025523,           0.0054221,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.027588,           0.0069945,                   0,              0.9634,             0.97502,              0.9851,             0.65671,            0.023466,           0.0062751,                   0,            0.008317,            0.008317,            0.008317
                  36,             0.02725,            0.006825,                   0,             0.98733,             0.96192,             0.98428,             0.61713,            0.025774,           0.0065987,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.027676,           0.0069985,                   0,              0.9875,             0.97515,             0.98296,             0.62556,            0.024461,            0.006982,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.026554,           0.0068819,                   0,             0.98747,             0.97297,             0.97806,             0.63254,            0.023803,            0.006626,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,             0.02603,           0.0070435,                   0,             0.97239,             0.98765,             0.98859,             0.63539,            0.024335,            0.005883,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.026066,           0.0070008,                   0,             0.98413,             0.95062,             0.98112,              0.6286,            0.024343,           0.0060552,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.025529,           0.0064395,                   0,             0.97554,             0.98483,             0.98362,             0.64663,            0.023115,           0.0057947,                   0,             0.00802,             0.00802,             0.00802
                  42,             0.02655,           0.0066004,                   0,             0.97385,             0.98765,             0.98049,             0.64081,            0.024225,           0.0053097,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.026994,           0.0068034,                   0,             0.99796,             0.96296,             0.98879,             0.64672,            0.023512,           0.0059683,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.025003,           0.0068962,                   0,               0.986,             0.96296,             0.98873,             0.66227,            0.023205,           0.0060591,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.026251,           0.0069916,                   0,             0.97347,             0.97531,             0.97891,             0.64318,            0.024358,           0.0054986,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.025685,           0.0064439,                   0,             0.95593,             0.98765,             0.98279,             0.64782,            0.022729,           0.0050464,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.025066,            0.006659,                   0,             0.98746,             0.97242,             0.98198,             0.64526,            0.024138,           0.0061176,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.024766,           0.0065957,                   0,             0.98614,             0.97531,             0.98363,             0.64953,            0.023329,           0.0061213,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.024996,           0.0067043,                   0,             0.97499,              0.9627,             0.98504,             0.65639,            0.023251,            0.006513,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.025442,           0.0063983,                   0,             0.97287,             0.96296,              0.9818,             0.63966,            0.024078,           0.0058404,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.024887,           0.0063757,                   0,             0.99775,             0.93827,             0.97861,             0.63891,            0.023876,            0.005996,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.025826,           0.0062315,                   0,             0.97155,             0.96296,             0.98248,              0.6393,             0.02475,           0.0059958,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.025189,           0.0064225,                   0,             0.97526,             0.97321,             0.98207,             0.64128,            0.023109,           0.0063279,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.023712,           0.0064708,                   0,             0.98714,             0.94779,             0.98442,             0.63711,            0.024267,           0.0067801,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.023944,           0.0059968,                   0,             0.98057,             0.95062,             0.98412,             0.67159,            0.023531,           0.0067178,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.024169,           0.0063355,                   0,             0.95111,             0.98765,             0.98619,             0.68139,            0.022614,           0.0063529,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.023021,           0.0061374,                   0,             0.99826,             0.95062,             0.98914,             0.67506,            0.023947,           0.0063792,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.025243,           0.0061293,                   0,             0.98275,             0.98765,             0.98946,             0.63881,            0.026929,           0.0063786,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.024557,           0.0063014,                   0,                   1,             0.96153,             0.99381,             0.65385,            0.023793,           0.0066418,                   0,            0.007129,            0.007129,            0.007129
                  60,             0.02375,            0.006103,                   0,             0.99009,             0.95062,             0.99183,             0.64672,            0.023154,           0.0069924,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.023304,           0.0063538,                   0,             0.98138,             0.96296,             0.99334,             0.64891,            0.024884,           0.0070324,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.023514,           0.0063479,                   0,             0.98577,             0.97531,             0.99075,             0.63351,            0.023346,           0.0070287,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,             0.02372,           0.0061626,                   0,             0.98762,             0.98504,             0.99083,             0.65435,            0.022799,            0.006685,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.023732,           0.0062437,                   0,              0.9715,             0.98765,             0.98811,             0.64802,            0.023895,           0.0064066,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.023169,           0.0062754,                   0,             0.98749,             0.97488,              0.9806,             0.66039,            0.023698,           0.0060974,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.022974,           0.0062585,                   0,             0.98657,             0.97531,             0.97748,             0.64571,            0.024551,           0.0051013,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.023248,            0.006041,                   0,             0.98447,             0.95062,             0.98446,             0.64705,            0.023504,           0.0065697,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.022626,           0.0062553,                   0,             0.98759,             0.98279,              0.9778,             0.62746,            0.024804,           0.0063203,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.022235,           0.0058867,                   0,              0.9851,             0.97531,             0.98384,             0.65399,            0.025035,           0.0068087,                   0,            0.006634,            0.006634,            0.006634
