VEHICLE_NUMBER,ENTRY_TIME
94BH2345AAI,06:26:40
eenncsshSWRDEVESSY,06:26:42
ARDEUS,06:26:58
HRZOUUSS,06:27:00
ARDBUUSSS,06:27:02
SARISDUSS,06:27:04
KAG2MP9657,06:27:11
KAG2HP9657,06:27:15
IKAG2MP9657,06:27:18
KAG2KP9659,06:27:20
upieTC2810,06:27:44
pee4uPt6TC2810,06:27:47
UP16TC2810,06:27:56
aeaanlUP16TC2810,06:27:58
ia4UP16TC2810,06:28:03
"nu nnn AL
4 BH 0004 AA |",10:17:15
"wren yb
4 BH 0001 AA",10:17:16
"Pe nu nnn AL
74 BH 0001 AA",10:17:17
"Pe ou nnn AA
24 BH 0001 AA",10:17:17
"ee anid AA
24 BH 0001 AA",10:17:18
=DLeuany,10:17:33
DL ALCO,10:17:34
QL ACU),10:17:34
Ku,10:17:35
FMHOS RESON,10:17:55
=HHOANEROY?,10:17:57
ATED,10:17:58
=MHOAAESOW,10:17:58
"MHOTNERON,",10:17:59
Foe 02 XXXX8},10:18:14
WB 02 XXXX8,10:18:14
WB O02 XXXX8),10:18:15
=WB 02 XXXX8),10:18:16
WB O02 XXXXK8),10:18:18
WB O02 XXXX8],10:18:19
~2} BH 2345 AA,10:18:21
WB O2XXXX8,10:18:21
WB O2 XXXX8I,10:18:22
24 BH 2345 AA’,10:18:26
21 BH 2345 AA,10:18:26
94 BH 2345 AA,10:18:28
91 BH 2345 AA,10:18:29
94 BH 2345 AA’,10:18:31
9 BH 2345 AA.,10:18:32
91 BH 2345 AA’,10:18:33
"—— an ee
94 BH 2345 AAI",10:18:34
=WHO3DA9647),10:18:49
"=MHO3DA9647,",10:18:50
sWH03DA9647|,10:18:51
=MHO3DA9647),10:18:53
WHO 3DA9647|,10:18:55
HO3DA9647;,10:18:56
WB O2 XXXXB,10:19:05
=WBO2XXXX8,10:19:12
"""WB O2XXXy8",10:19:21
WB O02 XXXyel,10:19:22
"KAGSHG 1969,",10:19:55
KACGSNG 1969,10:19:56
\KAGSHG 1969],10:19:57
KAGSHG 1969,10:19:58
"\KA GSMG 1969,",10:19:58
"KACSHG 1969,",10:20:00
"IKAGSHG 1969,",10:20:00
IKAGSMG 1969,10:20:02
KACSNG 1969),10:20:03
\KAGSMG 1969,10:20:04
AOS HG on,10:20:05
in ron 0639,10:20:28
'91 BH 2345 AA!,10:20:36
~91 BH 2345 AA!,10:20:38
ws,10:21:10
